% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=823375, Wed Dec  3 02:51:13 2025
1 71 0.9845730951125494 1.0977979982368116 0.8947879909803506 1
2 142 1.0604760206223787 1.2091312225180395 0.8571703593442717 1
3 213 1.1610681932499425 1.2677545656772322 0.8527722499870004 1
4 284 1.355508416614328 1.2815211775534217 0.7860050959256518 1
5 355 1.6030191806563798 1.2927598804777127 0.7558112384088281 1
6 426 1.9305425438506465 1.4647770922650936 0.752776650018919 1
7 497 2.3843786340278723 1.3561823509297777 0.6810168393573139 1
8 568 2.87602456639416 1.3729776804508482 0.6432397327855609 1
9 639 3.4031424411198428 1.3704318136804072 0.629145859298524 1
10 710 3.826147235072166 1.3343324466059125 0.5837985021772439 1
11 781 4.245891015447729 1.3020131231171899 0.5435744290690082 1
12 852 4.854459717092791 1.3617172206584833 0.5758962276442325 1
13 923 5.416352584042518 1.4078124105574708 0.529981804233803 1
14 994 6.155328945318373 1.3915123435211272 0.5258125806492844 1
15 1065 7.311488990172884 1.3397023227347635 0.5320205707346644 1
