% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=823375, Wed Dec  3 02:51:13 2025, <python>{}</python>
1 71 0.9845730951125494 0 0 1.056385841907466 0.9823583294625894 0.974875265597408 0.9633464540700204 1.0288042395294645 0.9831442217938121 0.9806196147989302 0.959189147811392 1.0140651406757049 0.9994472887986503 1.0166682121494488 0.9970601376532472 0.9434000646059206 0.9317984269704276 1.0808623729323787 1.0557224141636865 0.9692422631909974 0.9604964100381786 1.055328496878089 0.9468932987392359 1.006808092055846 0.9551295132992674 1.0652430895497296 0.8809841817490637 1.0347619381030382
2 142 1.0604760206223787 0 0 1.216144030285597 1.0575584064001913 1.1241769866701936 0.9090086116728676 1.1191838974124566 1.2118556242409269 1.0608742097106196 1.1288230451984143 1.001389524561989 0.9937882499964544 1.1155921199638303 1.0107289511913808 0.9680679365603015 0.9600268788747328 1.1362813175350155 1.2822546672662023 0.981427087767496 1.0006457441072614 1.1475217751005211 0.9959344496280885 1.0233723901266718 0.9861991217764216 1.2652163626620636 0.9692838550659596 1.1354853378212442
3 213 1.1610681932499425 0 0 1.4719495030552296 1.1362163447404117 1.2296260294385006 1.018337440125269 1.175427912019831 1.3871205675256602 1.1139078374566758 1.1897966127770823 1.0257701777710087 1.098719390870381 1.169965142265795 1.1187287761604323 0.9901267355460949 1.079426070598743 1.191761204622515 1.455096773109159 1.0333565789576065 1.058389877983458 1.2756628786411732 1.037497651539649 1.0901867085834211 1.0701191635323641 1.4309262612288491 1.0107362793058663 1.1839319552834364
4 284 1.355508416614328 0 0 1.7361633716963447 1.2499077464527935 1.4554933956022862 1.1296569394022695 1.3503313400946957 1.600370246507859 1.3150408333669752 1.3023279716680995 1.2005923082632437 1.254228864216581 1.3714206664811197 1.2828930564255718 1.0654365230289733 1.1792059394505252 1.4817232440232022 1.6965865529252175 1.1673164938712537 1.2991425933075327 1.447972280160221 1.3337073543008746 1.3037799066904532 1.2326117563295198 1.7371127422431678 1.1024679410174991 1.4305346648235686
5 355 1.6030191806563798 0 0 2.0363917207100206 1.4982086194079547 1.6129962770998008 1.3352551995343513 1.755609746760696 2.0723188843888227 1.5390834663009865 1.5282412115076687 1.3411260971960473 1.473099197042012 1.6870654689278597 1.516577656217727 1.2115799121250035 1.5043503782032233 1.6606299498600212 2.0296985826007323 1.3210272437780992 1.4953930443183425 1.5651869233607347 1.688306346526032 1.3932221391789665 1.4456977663726316 2.0137589660079245 1.212255652520985 1.6685187218470057
6 426 1.9305425438506465 0 0 2.347917421779579 1.8305463465679448 1.9589664985383928 1.7716276625691836 2.0294318204824053 2.2430153761868348 1.8593418515524054 1.8597783621891213 1.4532673488788919 1.870941456970465 2.10899696946737 1.8621079821182538 1.469468510222112 1.6931039597855506 2.019116540769933 2.8278144938756067 1.5499474662033443 1.7621507766693787 1.9500763666783707 1.996382525103772 1.509253546323585 1.7827216690744594 2.3044687812352675 1.5048095832899566 2.0443038117000123
7 497 2.3843786340278723 0 0 2.750030378882779 2.299477209710272 2.3122700232112923 2.4375968593382655 2.377815382391244 2.840715218427069 2.3668287749896484 2.2151941980601366 1.623802001176771 2.3171791532995645 2.569005074856599 2.2091608681693886 1.6902981183667816 1.9557076487161134 2.3295708663734565 3.233652221402652 1.7695455162384377 2.2098018580172423 2.551957838669876 2.6705981264589127 1.7236883083488193 2.307405280754632 3.0306610295867387 2.01771342148066 2.490995107839058
8 568 2.87602456639416 0 0 3.3559053837562405 2.4674957410624416 2.8648708115922643 3.0394650529154954 2.7625849142070042 3.435456825662638 2.7409408178984487 2.5497860938555474 1.8902932732338624 2.856969471125994 2.991480790733604 2.546960988292014 1.9290256261389769 2.398233470891567 2.6838747530481584 3.9487175380875104 2.0911357810792324 2.6948774577752177 3.2422547782039195 3.3390704766208663 1.8499732735720882 2.592131763699262 3.562718255428469 2.4552451383964895 2.9647174145690283
9 639 3.4031424411198428 0 0 3.850818686067454 2.6512761721738736 3.322811077972253 3.5460217814298116 3.127008817254717 3.889072231927713 3.090212569369818 2.925629265223692 2.3353505521968185 3.485323205271293 3.8562677032877515 3.0045205743564334 2.14107297543362 2.8288700259210797 3.303999689759748 4.663774667796635 2.3716727706895515 3.422388937947459 3.7788886350838933 3.98537075848697 2.340456428045856 3.4142109106188685 4.096914436458721 2.8620777347388553 3.3775744434724713
10 710 3.826147235072166 0 0 4.114509345530977 2.935594763726259 3.50544299590893 4.348796774628291 3.2639260932469703 3.97085548606524 3.3487911487614768 3.0409787413922498 2.4388002052485525 3.8022941574380047 4.132269783613698 3.363964217437517 2.233699024944734 2.9794163146703996 3.5017926383708784 5.1053524012482905 2.521049260490423 3.446964883253989 4.146807630192009 4.424408679062804 2.6213354295950007 3.8504823894476594 4.59246938882603 3.0490484233027253 3.8065695672144573
