% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, further/more values", seed=823375, Wed Dec  3 02:51:13 2025, <python>{}</python>
1 71 0.9845730951125494 1.226880567578962 15319.480969515633 1.5319480969515633e+04 16161.32909154391 21862.57383411379 1918.9688095748097 15429.320859798263 nan   
2 142 1.0604760206223787 1.410607832313538 15319.160948588597 1.5319160948588597e+04 15553.185423771416 20020.510690090472 1401.6713827996682 15361.141406365856 nan   
3 213 1.1610681932499425 1.4866273682059399 15319.160948588597 1.5319730701957684e+04 15361.526083830866 20606.95663023721 701.9663991866746 15327.009624834234 nan   
4 284 1.355508416614328 1.6304234975019052 15319.160948588597 1.5319163034783787e+04 15327.06395167268 20375.060825741224 262.3760303132858 15326.739513553695 nan   
5 355 1.6030191806563798 1.7104269092363535 15319.160948588597 1.5319187583810048e+04 15361.003685517377 21857.99100113236 413.7131264642667 15326.779423400443 nan   
6 426 1.9305425438506465 1.9458322627678213 15319.131817038118 1.5319131817038118e+04 15360.5415528166 19917.900199679345 92.06989637039987 15326.498475008777 nan   
7 497 2.3843786340278723 1.9914079543313905 15319.067972398392 1.5319067972398392e+04 15360.916474809474 20335.08046872863 522.6731691107307 15326.629699384408 nan   
8 568 2.87602456639416 2.134472748605165 15319.067972398392 1.5319117019837760e+04 15367.37857577192 20586.303734323046 1371.9687548324473 15326.406037438763 nan   
9 639 3.4031424411198428 2.1782418074059833 15318.887328645113 1.5318887328645113e+04 15358.471784950567 19934.838680300636 235.48677641741597 15326.20109548801 nan   
10 710 3.826147235072166 2.2856044365129304 15318.887328645113 1.5319050311054785e+04 15391.191185298516 20460.386214690796 735.8614594272713 15326.250522092278 nan   
11 781 4.245891015447729 2.395280302914867 15318.887328645113 1.5319023891511653e+04 15360.619120160183 20252.86861661968 769.4280911498172 15326.172921153811 nan   
12 852 4.854459717092791 2.3645183894132087 15318.887328645113 1.5318892458103133e+04 15326.330973257056 20340.01722726597 558.8416471963938 15319.248534537528 nan   
13 923 5.416352584042518 2.6563410277693422 15318.886627362312 1.5318886627362312e+04 15326.512733020756 20252.580933706653 558.2783837883671 15319.227635751891 nan   
14 994 6.155328945318373 2.6464036706821634 15313.20983662692 1.5313209836626920e+04 15326.283980992195 20836.60807950772 109.55099764534498 15319.094874659111 nan   
15 1065 7.311488990172884 2.518140080344592 15313.20983662692 1.5313250379046664e+04 15319.573932856403 20118.1875941534 102.3474397773607 15319.035462693628 nan   
